date,location,new_cases,new_deaths,total_cases,total_deaths
2020-03-15,Sweden,149,,924,
2020-03-16,Sweden,68,,992,3
2020-02-26,Switzerland,,,1,
2020-02-27,Switzerland,0,,1,
2020-02-28,Switzerland,5,,6,
2020-02-29,Switzerland,4,,10,
2020-03-01,Switzerland,8,,18,
2020-03-02,Switzerland,6,,24,
2020-03-03,Switzerland,6,,30,
2020-03-04,Switzerland,7,,37,
2020-03-05,Switzerland,19,,56,
2020-03-06,Switzerland,30,,86,1
2020-03-07,Switzerland,123,0,209,1
2020-03-08,Switzerland,55,1,264,2
2020-03-09,Switzerland,68,0,332,2
2020-03-10,Switzerland,0,0,332,2
2020-03-11,Switzerland,159,1,491,3
2020-03-12,Switzerland,154,1,645,4
2020-03-13,Switzerland,213,2,858,6
2020-03-14,Switzerland,267,0,1125,6
2020-03-15,Switzerland,234,5,1359,11
2020-03-16,Switzerland,841,2,2200,13
2020-01-21,Thailand,,,2,
2020-01-22,Thailand,0,,2,
2020-01-23,Thailand,2,,4,
2020-01-24,Thailand,0,,4,
2020-01-25,Thailand,0,,4,
2020-01-26,Thailand,1,,5,
2020-01-27,Thailand,0,,5,
2020-01-28,Thailand,9,,14,
2020-01-29,Thailand,0,,14,
2020-01-30,Thailand,0,,14,
2020-01-31,Thailand,0,,14,
2020-02-01,Thailand,5,,19,
2020-02-02,Thailand,0,,19,
2020-02-03,Thailand,0,,19,
2020-02-04,Thailand,0,,19,
2020-02-05,Thailand,6,,25,
2020-02-06,Thailand,0,,25,
2020-02-07,Thailand,0,,25,
2020-02-08,Thailand,7,,32,
2020-02-09,Thailand,0,,32,
2020-02-10,Thailand,0,,32,
2020-02-11,Thailand,1,,33,
2020-02-12,Thailand,0,,33,
2020-02-13,Thailand,0,,33,
2020-02-14,Thailand,0,,33,
2020-02-15,Thailand,1,,34,
2020-02-16,Thailand,0,,34,
2020-02-17,Thailand,1,,35,
2020-02-18,Thailand,0,,35,
2020-02-19,Thailand,0,,35,
2020-02-20,Thailand,0,,35,
2020-02-21,Thailand,0,,35,
2020-02-22,Thailand,0,,35,
2020-02-23,Thailand,0,,35,
2020-02-24,Thailand,0,,35,
2020-02-25,Thailand,2,,37,
2020-02-26,Thailand,3,,40,
2020-02-27,Thailand,0,,40,
2020-02-28,Thailand,0,,40,
2020-02-29,Thailand,2,,42,
2020-03-01,Thailand,0,,42,
2020-03-02,Thailand,0,,42,1
2020-03-03,Thailand,1,0,43,1
2020-03-04,Thailand,0,0,43,1
2020-03-05,Thailand,4,0,47,1
2020-03-06,Thailand,0,0,47,1
2020-03-07,Thailand,1,0,48,1
2020-03-08,Thailand,2,0,50,1
2020-03-09,Thailand,0,0,50,1
2020-03-10,Thailand,3,0,53,1
2020-03-11,Thailand,6,0,59,1
2020-03-12,Thailand,11,0,70,1
2020-03-13,Thailand,5,0,75,1
2020-03-14,Thailand,0,0,75,1
2020-03-15,Thailand,0,0,75,1
2020-03-16,Thailand,39,0,114,1
2020-02-01,United Kingdom,,,2,
2020-02-02,United Kingdom,0,,2,
2020-02-03,United Kingdom,0,,2,
2020-02-04,United Kingdom,0,,2,
2020-02-05,United Kingdom,0,,2,
2020-02-06,United Kingdom,0,,2,
2020-02-07,United Kingdom,1,,3,
2020-02-08,United Kingdom,0,,3,
2020-02-09,United Kingdom,0,,3,
2020-02-10,United Kingdom,1,,4,
2020-02-11,United Kingdom,4,,8,
2020-02-12,United Kingdom,0,,8,
2020-02-13,United Kingdom,1,,9,
2020-02-14,United Kingdom,0,,9,
2020-02-15,United Kingdom,0,,9,
2020-02-16,United Kingdom,0,,9,
2020-02-17,United Kingdom,0,,9,
2020-02-18,United Kingdom,0,,9,
2020-02-19,United Kingdom,0,,9,
2020-02-20,United Kingdom,0,,9,
2020-02-21,United Kingdom,0,,9,
2020-02-22,United Kingdom,0,,9,
2020-02-23,United Kingdom,0,,9,
2020-02-24,United Kingdom,0,,9,
2020-02-25,United Kingdom,4,,13,
2020-02-26,United Kingdom,0,,13,
2020-02-27,United Kingdom,0,,13,
2020-02-28,United Kingdom,3,,16,
2020-02-29,United Kingdom,4,,20,
2020-03-01,United Kingdom,3,,23,
2020-03-02,United Kingdom,13,,36,
2020-03-03,United Kingdom,3,,39,
2020-03-04,United Kingdom,12,,51,
2020-03-05,United Kingdom,38,,89,
2020-03-06,United Kingdom,29,,118,
2020-03-07,United Kingdom,49,,167,1
2020-03-08,United Kingdom,43,1,210,2
2020-03-09,United Kingdom,67,0,277,2
2020-03-10,United Kingdom,46,1,323,3
2020-03-11,United Kingdom,50,3,373,6
2020-03-12,United Kingdom,87,0,460,6
2020-03-13,United Kingdom,134,2,594,8
2020-03-14,United Kingdom,208,2,802,10
2020-03-15,United Kingdom,342,11,1144,21
2020-03-16,United Kingdom,251,14,1395,35
2020-01-23,United States,,,1,
2020-01-24,United States,0,,1,
2020-01-25,United States,1,,2,
2020-01-26,United States,0,,2,
2020-01-27,United States,3,,5,
2020-01-28,United States,0,,5,
2020-01-29,United States,0,,5,
2020-01-30,United States,0,,5,
2020-01-31,United States,1,,6,
2020-02-01,United States,1,,7,
2020-02-02,United States,1,,8,
2020-02-03,United States,3,,11,
2020-02-04,United States,0,,11,
2020-02-05,United States,0,,11,
2020-02-06,United States,1,,12,
2020-02-07,United States,0,,12,
2020-02-08,United States,0,,12,
2020-02-09,United States,0,,12,
2020-02-10,United States,0,,12,
2020-02-11,United States,1,,13,
2020-02-12,United States,0,,13,
2020-02-13,United States,1,,14,
2020-02-14,United States,1,,15,
2020-02-15,United States,0,,15,
2020-02-16,United States,0,,15,
2020-02-17,United States,0,,15,
2020-02-18,United States,0,,15,
2020-02-19,United States,0,,15,
2020-02-20,United States,0,,15,
2020-02-21,United States,0,,15,
2020-02-22,United States,20,,35,
2020-02-23,United States,0,,35,
2020-02-24,United States,0,,35,
2020-02-25,United States,18,,53,
2020-02-26,United States,0,,53,
2020-02-27,United States,6,,59,
2020-02-28,United States,0,,59,
2020-02-29,United States,3,,62,
2020-03-01,United States,0,,62,
2020-03-02,United States,0,,62,
2020-03-03,United States,2,,64,2
2020-03-04,United States,44,4,108,6
2020-03-05,United States,21,3,129,9
2020-03-06,United States,19,1,148,10
2020-03-07,United States,65,1,213,11
2020-03-08,United States,0,0,213,11
2020-03-09,United States,0,0,213,11
2020-03-10,United States,259,8,472,19
2020-03-11,United States,224,6,696,25
2020-03-12,United States,291,4,987,29
2020-03-13,United States,277,7,1264,36
2020-03-14,United States,414,5,1678,41
2020-03-15,United States,0,0,1678,41
2020-03-16,United States,0,0,1678,41
2020-01-24,Vietnam,,,2,
2020-01-25,Vietnam,0,,2,
2020-01-26,Vietnam,0,,2,
2020-01-27,Vietnam,0,,2,
2020-01-28,Vietnam,0,,2,
2020-01-29,Vietnam,0,,2,
2020-01-30,Vietnam,0,,2,
2020-01-31,Vietnam,3,,5,
2020-02-01,Vietnam,1,,6,
2020-02-02,Vietnam,1,,7,
2020-02-03,Vietnam,1,,8,
2020-02-04,Vietnam,1,,9,
2020-02-05,Vietnam,1,,10,
2020-02-06,Vietnam,0,,10,
2020-02-07,Vietnam,2,,12,
2020-02-08,Vietnam,1,,13,
2020-02-09,Vietnam,1,,14,
2020-02-10,Vietnam,0,,14,
2020-02-11,Vietnam,1,,15,
2020-02-12,Vietnam,0,,15,
2020-02-13,Vietnam,1,,16,
2020-02-14,Vietnam,0,,16,
2020-02-15,Vietnam,0,,16,
2020-02-16,Vietnam,0,,16,
2020-02-17,Vietnam,0,,16,
2020-02-18,Vietnam,0,,16,
2020-02-19,Vietnam,0,,16,
2020-02-20,Vietnam,0,,16,
2020-02-21,Vietnam,0,,16,
2020-02-22,Vietnam,0,,16,
2020-02-23,Vietnam,0,,16,
2020-02-24,Vietnam,0,,16,
2020-02-25,Vietnam,0,,16,
2020-02-26,Vietnam,0,,16,
2020-02-27,Vietnam,0,,16,
2020-02-28,Vietnam,0,,16,
2020-02-29,Vietnam,0,,16,
2020-03-01,Vietnam,0,,16,
2020-03-02,Vietnam,0,,16,
2020-03-03,Vietnam,0,,16,
2020-03-04,Vietnam,0,,16,
2020-03-05,Vietnam,0,,16,
2020-03-06,Vietnam,0,,16,
2020-03-07,Vietnam,1,,17,
2020-03-08,Vietnam,4,,21,
2020-03-09,Vietnam,9,,30,
2020-03-10,Vietnam,1,,31,
2020-03-11,Vietnam,4,,35,
2020-03-12,Vietnam,4,,39,
2020-03-13,Vietnam,0,,39,
2020-03-14,Vietnam,9,,48,
2020-03-15,Vietnam,5,,53,
2020-03-16,Vietnam,4,,57,
2020-01-21,World,0,0,282,6
2020-01-22,World,32,0,314,6
2020-01-23,World,266,11,581,17
2020-01-24,World,262,8,846,25
2020-01-25,World,467,16,1320,41
2020-01-26,World,691,15,2014,56
2020-01-27,World,783,24,2798,80
2020-01-28,World,1792,26,4593,106
2020-01-29,World,1468,26,6065,132
2020-01-30,World,1750,38,7818,170
2020-01-31,World,2006,43,9826,213
2020-02-01,World,2121,46,11953,259
2020-02-02,World,2604,45,14557,305
2020-02-03,World,2834,57,17391,362
2020-02-04,World,3239,64,20630,426
2020-02-05,World,3913,66,24544,492
2020-02-06,World,3712,73,28276,565
2020-02-07,World,3205,73,31481,638
2020-02-08,World,3405,86,34886,724
2020-02-09,World,2672,89,37558,813
2020-02-10,World,2996,97,40554,910
2020-02-11,World,2549,108,43103,1018
2020-02-12,World,2068,97,45171,1115
2020-02-13,World,1826,254,46997,1369
2020-02-14,World,2056,13,49053,1383
2020-02-15,World,1526,143,50580,1526
2020-02-16,World,1277,142,51857,1669
2020-02-17,World,19572,106,71429,1775
2020-02-18,World,1903,98,73332,1873
2020-02-19,World,1872,136,75204,2009
2020-02-20,World,542,115,75748,2129
2020-02-21,World,1021,118,76769,2247
2020-02-22,World,1023,112,77794,2359
2020-02-23,World,1017,102,78811,2463
2020-02-24,World,517,155,79331,2618
2020-02-25,World,896,82,80239,2700
2020-02-26,World,864,62,81109,2762
2020-02-27,World,1175,42,82294,2804
2020-02-28,World,1353,54,83652,2858
2020-02-29,World,1748,66,85403,2924
2020-03-01,World,1727,53,87137,2977
2020-03-02,World,1801,64,88948,3043
2020-03-03,World,1912,67,90869,3112
2020-03-04,World,2217,86,93090,3198
2020-03-05,World,2220,79,95324,3280
2020-03-06,World,2864,99,98192,3380
2020-03-07,World,3730,104,101927,3486
2020-03-08,World,3644,96,105592,3584
2020-03-09,World,3979,224,109577,3809
2020-03-10,World,4119,201,113702,4012
2020-03-11,World,4611,275,118319,4292
2020-03-12,World,6936,317,125260,4613
2020-03-13,World,7488,338,132758,4956
2020-03-14,World,9766,434,142539,5393
2020-03-15,World,10968,343,153523,5736
2020-03-16,World,13968,855,167502,6603
